Iah,Tsiunn,Ho,Hanji,Lomaji,Huagi
4,一人際,08,伊閣咧起無空矣。,I koh teh khí-bô-khang--ah.,華 他又在找碴了。
4,一人際,09,伊是阮祧仔內的。,I sī guán thiāu-á-lāi--ê.,華 他是我們同宗的。
4,一人際,10,一句話盤來盤去。,Tsit kù uē puânn lâi puânn khì.,華 一句話傳來傳去。
4,一人際,11,伊共人𤆬囡仔。,I kā lâng tshuā gín-á.,華 他幫別人照顧小孩。
4,一人際,12,燒燒面焐人冷尻川。,Sio-sio bīn ù lâng líng kha-tshng.,華 熱臉貼人冷屁股。
4,一人際,13,我已經輸甲貼底矣。,Guá í-king su kah tah-té--ah.,華 我已經輸到底了。
4,一人際,14,遐的數就準拄好矣。,Hia-ê siàu tō tsún-tú-hó--ah.,華 那些帳就算扯平了。
6,一人際,22,這擺的機會是拄䢢拄䢢。,Tsit pái ê ki-huē sī tú-tshiāng-tú-tshiāng,華 這次的機會是碰巧。
6,一人際,23,食物仔到喙口才交落去。,Tsiah-mih-á kàu tshuì-kháu tsiah ka-lauh--khì.,華 東西到嘴邊了才掉下去。意同「煮熟的鴨子飛了。」
6,一人際,24,穡頭欲對佗位落手才好?,Sit-thâu beh tuì tó-uī loh-tshiú tsiah hó?,華 工作要從哪裡著手才好?
6,一人際,25,"伊猶未講煞,毋通僭話。","I iáu-buē kóng-suah, m̄-thang tsiàm-uē.","華 他還沒有說完,不要搶話。"
6,一人際,26,你按呢做有淡薄仔袂和。,Lí án-ne tsò ū tām-poh-á bē-hô.,華 你這麼做有點划不來。
6,一人際,27,伊是我拄過上歹剃頭的人。,I sī guá tú--kuè siōng pháinn-thì-thâu ê lâng.,華 他是我遇過最難應付的人。
6,一人際,28,感情的代誌是袂當勉強的。,Kám-tsîng ê tāi-tsì sī bē-tàng bián-kióng--ê.,華 感情的事是勉強不來的。
8,一人際,36,想袂到兩个會冤家變親家。,Siūnn bē kàu in nn̄g ê ē uan-ke piàn tshin-ke.,華 想不到他們兩個人會冤家變親家。
8,一人際,37,"你講甲哩哩囉囉,我聽攏無!","Lí kóng kah li-li-lo-lo, guá thiann lóng bô!","華 你講得不清不楚,我都聽不懂!"
8,一人際,38,"共伊講一句,按呢就袂直矣。","Kā i kóng--tsit-kù, án-ne tō bē-tit--ah.","華 說他一句,就這樣沒完沒了了。"
8,一人際,39,這件代誌你去共小挲一下。,Tsit kiānn tāi-tsì lí khì kā in sió so--tsit-ē.,華 這件事情你去安撫他們一下。
8,一人際,40,"你毋通掛意,我會趕緊轉來。","Lí m̄-thang kuà-ì, guá ē kuánn-kín tńg--lâi.","華 你不要掛念,我會趕快回來。"
8,一人際,41,這層代誌咱頂過已經講過矣!,Tsit tsân tāi-tsì lán tíng-kuè í-king kóng--kuè--ah!,華 這件事情我們上次已經說過了!
8,一人際,42,管待伊喔!叫伊家己想辦法。,Kuán-thāi--i--ooh! Kiò i ka-kī siūnn pān-huat.,華 管他的!叫他自己想辦法。
10,一人際,50,"我猶未講煞,你先莫插話好無?","Guá iáu-buē kóng-suah, lí sing mài tshah-uē hó--bô?","華 我還沒說完,你先別插嘴好嗎?"
10,一人際,51,你毋通共序大人按呢應喙應舌。,Lí m̄-thang kā sī-tuā-lâng án-ne ìn-tshuì-ìn-tsih.,華 你不要這樣和長輩頂嘴。
10,一人際,52,"心事無人知,我鬱甲足艱苦的。","Sim-sū bô lâng tsai, guá ut kah tsiok kan-khóo--ê.","華 心事沒有人知道,我壓抑得很難過。"
10,一人際,53,好歹命敢是註好好的?這真歹講。,Hó-pháinn miā kám sī tsù-hó-hó--ê? Tse tsin pháinn-kóng.,華 命運好壞是註定好的嗎?這很難說。
10,一人際,54,"伊真有福氣,後生新婦攏誠有孝。","I tsin ū hok-khì, hāu-senn sin-pū lóng tsiânn iú-hàu.","華 他很有福氣,兒子媳婦都很孝順。"
10,一人際,55,"雖然恁是好朋友,嘛毋通傷靠俗。","Sui-jiân lín sī hó pîng-iú, mā m̄-thang siunn khò-siok.","華 雖然你們是好朋友,也不能太隨便。"
10,一人際,56,"伊愛激派頭就予伊去激,莫插伊。","I ài kik-phài-thâu tō hōo i khì kik, mài tshap--i.","華 他喜歡擺架子就讓他擺,別理他。"
12,一人際,64,"阿英仔誠歹命,自細漢爸母就過身矣。","A-ing--á tsiânn pháinn-miā, tsū sè-hàn pē-bú tō kuè-sin--ah.","華 阿英很苦命,從小父母就過世了。"
12,一人際,65,"免你家婆,阮兜的代誌我家己會處理。","Bián lí ke-pô, guán tau ê tāi-tsì guá ka-kī ē tshú-lí.","華 不用你多事,我家的事情我自己會處理。"
